[2026-03-15T02:33:46.113+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer scheduled__2026-03-14T00:00:00+00:00 [queued]>
[2026-03-15T02:33:46.128+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer scheduled__2026-03-14T00:00:00+00:00 [queued]>
[2026-03-15T02:33:46.141+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-03-15T02:33:46.184+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): extract_bronze_layer> on 2026-03-14 00:00:00+00:00
[2026-03-15T02:33:46.190+0000] {standard_task_runner.py:60} INFO - Started process 1710 to run task
[2026-03-15T02:33:46.193+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'scheduled__2026-03-14T00:00:00+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmp68msack1']
[2026-03-15T02:33:46.195+0000] {standard_task_runner.py:88} INFO - Job 3: Subtask extract_bronze_layer
[2026-03-15T02:33:46.214+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-15T02:33:46.284+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer scheduled__2026-03-14T00:00:00+00:00 [running]> on host 7ae72f5da3a1
[2026-03-15T03:40:38.953+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'scheduled__2026-03-14T00:00:00+00:00', '--job-id', '2', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmps82vpmy7']
[2026-03-15T03:40:38.975+0000] {standard_task_runner.py:88} INFO - Job 2: Subtask extract_bronze_layer
[2026-03-15T03:40:39.041+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-15T03:40:39.133+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer scheduled__2026-03-14T00:00:00+00:00 [running]> on host 48ec17683d00
[2026-03-15T03:40:39.277+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='brewery_data_pipeline' AIRFLOW_CTX_TASK_ID='extract_bronze_layer' AIRFLOW_CTX_EXECUTION_DATE='2026-03-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-14T00:00:00+00:00'
[2026-03-15T03:40:39.279+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-03-15T03:40:39.280+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/scripts/extract_breweries.py --execution_date 2026-03-14']
[2026-03-15T03:40:39.290+0000] {subprocess.py:86} INFO - Output:
[2026-03-15T03:40:39.815+0000] {subprocess.py:93} INFO - Traceback (most recent call last):
[2026-03-15T03:40:39.820+0000] {subprocess.py:93} INFO -   File "/opt/***/scripts/extract_breweries.py", line 6, in <module>
[2026-03-15T03:40:39.824+0000] {subprocess.py:93} INFO -     from minio import Minio # Novo: para criar o bucket se não existir
[2026-03-15T03:40:39.825+0000] {subprocess.py:93} INFO - ModuleNotFoundError: No module named 'minio'
[2026-03-15T03:40:39.844+0000] {subprocess.py:97} INFO - Command exited with return code 1
[2026-03-15T03:40:39.861+0000] {taskinstance.py:2698} ERROR - Task failed with exception
Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.8/site-packages/airflow/models/taskinstance.py", line 433, in _execute_task
    result = execute_callable(context=context, **execute_callable_kwargs)
  File "/home/airflow/.local/lib/python3.8/site-packages/airflow/operators/bash.py", line 212, in execute
    raise AirflowException(
airflow.exceptions.AirflowException: Bash command failed. The command returned a non-zero exit code 1.
[2026-03-15T03:40:39.872+0000] {taskinstance.py:1138} INFO - Marking task as UP_FOR_RETRY. dag_id=brewery_data_pipeline, task_id=extract_bronze_layer, execution_date=20260314T000000, start_date=20260315T034038, end_date=20260315T034039
[2026-03-15T03:40:39.903+0000] {standard_task_runner.py:107} ERROR - Failed to execute job 2 for task extract_bronze_layer (Bash command failed. The command returned a non-zero exit code 1.; 206)
[2026-03-15T03:40:39.930+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 1
[2026-03-15T03:40:39.954+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2026-03-15T03:49:23.107+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer scheduled__2026-03-14T00:00:00+00:00 [queued]>
[2026-03-15T03:49:23.116+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer scheduled__2026-03-14T00:00:00+00:00 [queued]>
[2026-03-15T03:49:23.117+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-03-15T03:49:23.131+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): extract_bronze_layer> on 2026-03-14 00:00:00+00:00
[2026-03-15T03:49:23.135+0000] {standard_task_runner.py:60} INFO - Started process 214 to run task
[2026-03-15T03:49:23.139+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'scheduled__2026-03-14T00:00:00+00:00', '--job-id', '2', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmp2p9kyhas']
[2026-03-15T03:49:23.141+0000] {standard_task_runner.py:88} INFO - Job 2: Subtask extract_bronze_layer
[2026-03-15T03:49:23.159+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-15T03:49:23.243+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer scheduled__2026-03-14T00:00:00+00:00 [running]> on host 609fea0a21b5
[2026-03-15T03:49:23.335+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='brewery_data_pipeline' AIRFLOW_CTX_TASK_ID='extract_bronze_layer' AIRFLOW_CTX_EXECUTION_DATE='2026-03-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-14T00:00:00+00:00'
[2026-03-15T03:49:23.336+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-03-15T03:49:23.337+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/scripts/extract_breweries.py --execution_date 2026-03-14']
[2026-03-15T03:49:23.345+0000] {subprocess.py:86} INFO - Output:
[2026-03-15T03:49:23.535+0000] {subprocess.py:93} INFO - Traceback (most recent call last):
[2026-03-15T03:49:23.536+0000] {subprocess.py:93} INFO -   File "/opt/***/scripts/extract_breweries.py", line 6, in <module>
[2026-03-15T03:49:23.537+0000] {subprocess.py:93} INFO -     from minio import Minio # Novo: para criar o bucket se não existir
[2026-03-15T03:49:23.538+0000] {subprocess.py:93} INFO - ModuleNotFoundError: No module named 'minio'
[2026-03-15T03:49:23.551+0000] {subprocess.py:97} INFO - Command exited with return code 1
[2026-03-15T03:49:23.560+0000] {taskinstance.py:2698} ERROR - Task failed with exception
Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.8/site-packages/airflow/models/taskinstance.py", line 433, in _execute_task
    result = execute_callable(context=context, **execute_callable_kwargs)
  File "/home/airflow/.local/lib/python3.8/site-packages/airflow/operators/bash.py", line 212, in execute
    raise AirflowException(
airflow.exceptions.AirflowException: Bash command failed. The command returned a non-zero exit code 1.
[2026-03-15T03:49:23.563+0000] {taskinstance.py:1138} INFO - Marking task as UP_FOR_RETRY. dag_id=brewery_data_pipeline, task_id=extract_bronze_layer, execution_date=20260314T000000, start_date=20260315T034923, end_date=20260315T034923
[2026-03-15T03:49:23.577+0000] {standard_task_runner.py:107} ERROR - Failed to execute job 2 for task extract_bronze_layer (Bash command failed. The command returned a non-zero exit code 1.; 214)
[2026-03-15T03:49:23.595+0000] {local_task_job_runner.py:234} INFO - Task exited with return code 1
[2026-03-15T03:49:23.620+0000] {taskinstance.py:3280} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2026-03-15T04:24:32.348+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer scheduled__2026-03-14T00:00:00+00:00 [queued]>
[2026-03-15T04:24:32.367+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer scheduled__2026-03-14T00:00:00+00:00 [queued]>
[2026-03-15T04:24:32.368+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-03-15T04:24:32.391+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): extract_bronze_layer> on 2026-03-14 00:00:00+00:00
[2026-03-15T04:24:32.397+0000] {standard_task_runner.py:60} INFO - Started process 251 to run task
[2026-03-15T04:24:32.406+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'scheduled__2026-03-14T00:00:00+00:00', '--job-id', '2', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmp3cahzx9s']
[2026-03-15T04:24:32.415+0000] {standard_task_runner.py:88} INFO - Job 2: Subtask extract_bronze_layer
[2026-03-15T04:24:32.456+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-15T04:24:32.619+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer scheduled__2026-03-14T00:00:00+00:00 [running]> on host ddcebd9d70f5
[2026-03-15T04:24:32.729+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='brewery_data_pipeline' AIRFLOW_CTX_TASK_ID='extract_bronze_layer' AIRFLOW_CTX_EXECUTION_DATE='2026-03-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-03-14T00:00:00+00:00'
[2026-03-15T04:24:32.732+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-03-15T04:24:32.734+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/scripts/extract_breweries.py --execution_date 2026-03-14']
[2026-03-15T04:24:32.747+0000] {subprocess.py:86} INFO - Output:
[2026-03-15T04:26:08.684+0000] {subprocess.py:93} INFO - Iniciando script de extração em: 2026-03-15 04:24:33.183207
[2026-03-15T04:26:08.693+0000] {subprocess.py:93} INFO - Bucket 'brewery-datalake' criado com sucesso no MinIO.
[2026-03-15T04:26:08.694+0000] {subprocess.py:93} INFO - Iniciando a busca de cervejarias da API: https://api.openbrewerydb.org/v1/breweries
[2026-03-15T04:26:08.696+0000] {subprocess.py:93} INFO - Página 1 buscada. Total de cervejarias até agora: 50
[2026-03-15T04:26:08.698+0000] {subprocess.py:93} INFO - Página 2 buscada. Total de cervejarias até agora: 100
[2026-03-15T04:26:08.700+0000] {subprocess.py:93} INFO - Página 3 buscada. Total de cervejarias até agora: 150
[2026-03-15T04:26:08.702+0000] {subprocess.py:93} INFO - Página 4 buscada. Total de cervejarias até agora: 200
[2026-03-15T04:26:08.708+0000] {subprocess.py:93} INFO - Página 5 buscada. Total de cervejarias até agora: 250
[2026-03-15T04:26:08.709+0000] {subprocess.py:93} INFO - Página 6 buscada. Total de cervejarias até agora: 300
[2026-03-15T04:26:08.710+0000] {subprocess.py:93} INFO - Página 7 buscada. Total de cervejarias até agora: 350
[2026-03-15T04:26:08.711+0000] {subprocess.py:93} INFO - Página 8 buscada. Total de cervejarias até agora: 400
[2026-03-15T04:26:08.712+0000] {subprocess.py:93} INFO - Página 9 buscada. Total de cervejarias até agora: 450
[2026-03-15T04:26:08.712+0000] {subprocess.py:93} INFO - Página 10 buscada. Total de cervejarias até agora: 500
[2026-03-15T04:26:08.713+0000] {subprocess.py:93} INFO - Página 11 buscada. Total de cervejarias até agora: 550
[2026-03-15T04:26:08.714+0000] {subprocess.py:93} INFO - Página 12 buscada. Total de cervejarias até agora: 600
[2026-03-15T04:26:08.714+0000] {subprocess.py:93} INFO - Página 13 buscada. Total de cervejarias até agora: 650
[2026-03-15T04:26:08.715+0000] {subprocess.py:93} INFO - Página 14 buscada. Total de cervejarias até agora: 700
[2026-03-15T04:26:08.716+0000] {subprocess.py:93} INFO - Página 15 buscada. Total de cervejarias até agora: 750
[2026-03-15T04:26:08.716+0000] {subprocess.py:93} INFO - Página 16 buscada. Total de cervejarias até agora: 800
[2026-03-15T04:26:08.716+0000] {subprocess.py:93} INFO - Página 17 buscada. Total de cervejarias até agora: 850
[2026-03-15T04:26:08.717+0000] {subprocess.py:93} INFO - Página 18 buscada. Total de cervejarias até agora: 900
[2026-03-15T04:26:08.717+0000] {subprocess.py:93} INFO - Página 19 buscada. Total de cervejarias até agora: 950
[2026-03-15T04:26:08.718+0000] {subprocess.py:93} INFO - Página 20 buscada. Total de cervejarias até agora: 1000
[2026-03-15T04:26:08.718+0000] {subprocess.py:93} INFO - Página 21 buscada. Total de cervejarias até agora: 1050
[2026-03-15T04:26:08.718+0000] {subprocess.py:93} INFO - Página 22 buscada. Total de cervejarias até agora: 1100
[2026-03-15T04:26:08.719+0000] {subprocess.py:93} INFO - Página 23 buscada. Total de cervejarias até agora: 1150
[2026-03-15T04:26:08.719+0000] {subprocess.py:93} INFO - Página 24 buscada. Total de cervejarias até agora: 1200
[2026-03-15T04:26:08.719+0000] {subprocess.py:93} INFO - Página 25 buscada. Total de cervejarias até agora: 1250
[2026-03-15T04:26:08.720+0000] {subprocess.py:93} INFO - Página 26 buscada. Total de cervejarias até agora: 1300
[2026-03-15T04:26:08.720+0000] {subprocess.py:93} INFO - Página 27 buscada. Total de cervejarias até agora: 1350
[2026-03-15T04:26:08.721+0000] {subprocess.py:93} INFO - Página 28 buscada. Total de cervejarias até agora: 1400
[2026-03-15T04:26:08.721+0000] {subprocess.py:93} INFO - Página 29 buscada. Total de cervejarias até agora: 1450
[2026-03-15T04:26:08.722+0000] {subprocess.py:93} INFO - Página 30 buscada. Total de cervejarias até agora: 1500
[2026-03-15T04:26:08.722+0000] {subprocess.py:93} INFO - Página 31 buscada. Total de cervejarias até agora: 1550
[2026-03-15T04:26:08.722+0000] {subprocess.py:93} INFO - Página 32 buscada. Total de cervejarias até agora: 1600
[2026-03-15T04:26:08.723+0000] {subprocess.py:93} INFO - Página 33 buscada. Total de cervejarias até agora: 1650
[2026-03-15T04:26:08.723+0000] {subprocess.py:93} INFO - Página 34 buscada. Total de cervejarias até agora: 1700
[2026-03-15T04:26:08.724+0000] {subprocess.py:93} INFO - Página 35 buscada. Total de cervejarias até agora: 1750
[2026-03-15T04:26:08.724+0000] {subprocess.py:93} INFO - Página 36 buscada. Total de cervejarias até agora: 1800
[2026-03-15T04:26:08.725+0000] {subprocess.py:93} INFO - Página 37 buscada. Total de cervejarias até agora: 1850
[2026-03-15T04:26:08.725+0000] {subprocess.py:93} INFO - Página 38 buscada. Total de cervejarias até agora: 1900
[2026-03-15T04:26:08.725+0000] {subprocess.py:93} INFO - Página 39 buscada. Total de cervejarias até agora: 1950
[2026-03-15T04:26:08.726+0000] {subprocess.py:93} INFO - Página 40 buscada. Total de cervejarias até agora: 2000
[2026-03-15T04:26:08.727+0000] {subprocess.py:93} INFO - Página 41 buscada. Total de cervejarias até agora: 2050
[2026-03-15T04:26:08.727+0000] {subprocess.py:93} INFO - Página 42 buscada. Total de cervejarias até agora: 2100
[2026-03-15T04:26:08.728+0000] {subprocess.py:93} INFO - Página 43 buscada. Total de cervejarias até agora: 2150
[2026-03-15T04:26:08.728+0000] {subprocess.py:93} INFO - Página 44 buscada. Total de cervejarias até agora: 2200
[2026-03-15T04:26:08.729+0000] {subprocess.py:93} INFO - Página 45 buscada. Total de cervejarias até agora: 2250
[2026-03-15T04:26:08.729+0000] {subprocess.py:93} INFO - Página 46 buscada. Total de cervejarias até agora: 2300
[2026-03-15T04:26:08.729+0000] {subprocess.py:93} INFO - Página 47 buscada. Total de cervejarias até agora: 2350
[2026-03-15T04:26:08.729+0000] {subprocess.py:93} INFO - Página 48 buscada. Total de cervejarias até agora: 2400
[2026-03-15T04:26:08.730+0000] {subprocess.py:93} INFO - Página 49 buscada. Total de cervejarias até agora: 2450
[2026-03-15T04:26:08.730+0000] {subprocess.py:93} INFO - Página 50 buscada. Total de cervejarias até agora: 2500
[2026-03-15T04:26:08.730+0000] {subprocess.py:93} INFO - Página 51 buscada. Total de cervejarias até agora: 2550
[2026-03-15T04:26:08.731+0000] {subprocess.py:93} INFO - Página 52 buscada. Total de cervejarias até agora: 2600
[2026-03-15T04:26:08.731+0000] {subprocess.py:93} INFO - Página 53 buscada. Total de cervejarias até agora: 2650
[2026-03-15T04:26:08.732+0000] {subprocess.py:93} INFO - Página 54 buscada. Total de cervejarias até agora: 2700
[2026-03-15T04:26:08.732+0000] {subprocess.py:93} INFO - Página 55 buscada. Total de cervejarias até agora: 2750
[2026-03-15T04:26:08.733+0000] {subprocess.py:93} INFO - Página 56 buscada. Total de cervejarias até agora: 2800
[2026-03-15T04:26:08.733+0000] {subprocess.py:93} INFO - Página 57 buscada. Total de cervejarias até agora: 2850
[2026-03-15T04:26:08.733+0000] {subprocess.py:93} INFO - Página 58 buscada. Total de cervejarias até agora: 2900
[2026-03-15T04:26:08.734+0000] {subprocess.py:93} INFO - Página 59 buscada. Total de cervejarias até agora: 2950
[2026-03-15T04:26:08.734+0000] {subprocess.py:93} INFO - Página 60 buscada. Total de cervejarias até agora: 3000
[2026-03-15T04:26:08.734+0000] {subprocess.py:93} INFO - Página 61 buscada. Total de cervejarias até agora: 3050
[2026-03-15T04:26:08.735+0000] {subprocess.py:93} INFO - Página 62 buscada. Total de cervejarias até agora: 3100
[2026-03-15T04:26:08.735+0000] {subprocess.py:93} INFO - Página 63 buscada. Total de cervejarias até agora: 3150
[2026-03-15T04:26:08.736+0000] {subprocess.py:93} INFO - Página 64 buscada. Total de cervejarias até agora: 3200
[2026-03-15T04:26:08.736+0000] {subprocess.py:93} INFO - Página 65 buscada. Total de cervejarias até agora: 3250
[2026-03-15T04:26:08.737+0000] {subprocess.py:93} INFO - Página 66 buscada. Total de cervejarias até agora: 3300
[2026-03-15T04:26:08.737+0000] {subprocess.py:93} INFO - Página 67 buscada. Total de cervejarias até agora: 3350
[2026-03-15T04:26:08.737+0000] {subprocess.py:93} INFO - Página 68 buscada. Total de cervejarias até agora: 3400
[2026-03-15T04:26:08.738+0000] {subprocess.py:93} INFO - Página 69 buscada. Total de cervejarias até agora: 3450
[2026-03-15T04:26:08.738+0000] {subprocess.py:93} INFO - Página 70 buscada. Total de cervejarias até agora: 3500
[2026-03-15T04:26:08.739+0000] {subprocess.py:93} INFO - Página 71 buscada. Total de cervejarias até agora: 3550
[2026-03-15T04:26:08.739+0000] {subprocess.py:93} INFO - Página 72 buscada. Total de cervejarias até agora: 3600
[2026-03-15T04:26:08.739+0000] {subprocess.py:93} INFO - Página 73 buscada. Total de cervejarias até agora: 3650
[2026-03-15T04:26:08.740+0000] {subprocess.py:93} INFO - Página 74 buscada. Total de cervejarias até agora: 3700
[2026-03-15T04:26:08.740+0000] {subprocess.py:93} INFO - Página 75 buscada. Total de cervejarias até agora: 3750
[2026-03-15T04:26:08.740+0000] {subprocess.py:93} INFO - Página 76 buscada. Total de cervejarias até agora: 3800
[2026-03-15T04:26:08.741+0000] {subprocess.py:93} INFO - Página 77 buscada. Total de cervejarias até agora: 3850
[2026-03-15T04:26:08.741+0000] {subprocess.py:93} INFO - Página 78 buscada. Total de cervejarias até agora: 3900
[2026-03-15T04:26:08.742+0000] {subprocess.py:93} INFO - Página 79 buscada. Total de cervejarias até agora: 3950
[2026-03-15T04:26:08.742+0000] {subprocess.py:93} INFO - Página 80 buscada. Total de cervejarias até agora: 4000
[2026-03-15T04:26:08.743+0000] {subprocess.py:93} INFO - Página 81 buscada. Total de cervejarias até agora: 4050
[2026-03-15T04:26:08.743+0000] {subprocess.py:93} INFO - Página 82 buscada. Total de cervejarias até agora: 4100
[2026-03-15T04:26:08.744+0000] {subprocess.py:93} INFO - Página 83 buscada. Total de cervejarias até agora: 4150
[2026-03-15T04:26:08.744+0000] {subprocess.py:93} INFO - Página 84 buscada. Total de cervejarias até agora: 4200
[2026-03-15T04:26:08.745+0000] {subprocess.py:93} INFO - Página 85 buscada. Total de cervejarias até agora: 4250
[2026-03-15T04:26:08.745+0000] {subprocess.py:93} INFO - Página 86 buscada. Total de cervejarias até agora: 4300
[2026-03-15T04:26:08.746+0000] {subprocess.py:93} INFO - Página 87 buscada. Total de cervejarias até agora: 4350
[2026-03-15T04:26:08.746+0000] {subprocess.py:93} INFO - Página 88 buscada. Total de cervejarias até agora: 4400
[2026-03-15T04:26:08.747+0000] {subprocess.py:93} INFO - Página 89 buscada. Total de cervejarias até agora: 4450
[2026-03-15T04:26:08.747+0000] {subprocess.py:93} INFO - Página 90 buscada. Total de cervejarias até agora: 4500
[2026-03-15T04:26:08.748+0000] {subprocess.py:93} INFO - Página 91 buscada. Total de cervejarias até agora: 4550
[2026-03-15T04:26:08.748+0000] {subprocess.py:93} INFO - Página 92 buscada. Total de cervejarias até agora: 4600
[2026-03-15T04:26:08.748+0000] {subprocess.py:93} INFO - Página 93 buscada. Total de cervejarias até agora: 4650
[2026-03-15T04:26:08.749+0000] {subprocess.py:93} INFO - Página 94 buscada. Total de cervejarias até agora: 4700
[2026-03-15T04:26:08.749+0000] {subprocess.py:93} INFO - Página 95 buscada. Total de cervejarias até agora: 4750
[2026-03-15T04:26:08.750+0000] {subprocess.py:93} INFO - Página 96 buscada. Total de cervejarias até agora: 4800
[2026-03-15T04:26:08.750+0000] {subprocess.py:93} INFO - Página 97 buscada. Total de cervejarias até agora: 4850
[2026-03-15T04:26:08.750+0000] {subprocess.py:93} INFO - Página 98 buscada. Total de cervejarias até agora: 4900
[2026-03-15T04:26:08.751+0000] {subprocess.py:93} INFO - Página 99 buscada. Total de cervejarias até agora: 4950
[2026-03-15T04:26:08.751+0000] {subprocess.py:93} INFO - Página 100 buscada. Total de cervejarias até agora: 5000
[2026-03-15T04:26:08.752+0000] {subprocess.py:93} INFO - Página 101 buscada. Total de cervejarias até agora: 5050
[2026-03-15T04:26:08.752+0000] {subprocess.py:93} INFO - Página 102 buscada. Total de cervejarias até agora: 5100
[2026-03-15T04:26:08.752+0000] {subprocess.py:93} INFO - Página 103 buscada. Total de cervejarias até agora: 5150
[2026-03-15T04:26:08.753+0000] {subprocess.py:93} INFO - Página 104 buscada. Total de cervejarias até agora: 5200
[2026-03-15T04:26:08.753+0000] {subprocess.py:93} INFO - Página 105 buscada. Total de cervejarias até agora: 5250
[2026-03-15T04:26:08.753+0000] {subprocess.py:93} INFO - Página 106 buscada. Total de cervejarias até agora: 5300
[2026-03-15T04:26:08.754+0000] {subprocess.py:93} INFO - Página 107 buscada. Total de cervejarias até agora: 5350
[2026-03-15T04:26:08.754+0000] {subprocess.py:93} INFO - Página 108 buscada. Total de cervejarias até agora: 5400
[2026-03-15T04:26:08.754+0000] {subprocess.py:93} INFO - Página 109 buscada. Total de cervejarias até agora: 5450
[2026-03-15T04:26:08.754+0000] {subprocess.py:93} INFO - Página 110 buscada. Total de cervejarias até agora: 5500
[2026-03-15T04:26:08.755+0000] {subprocess.py:93} INFO - Página 111 buscada. Total de cervejarias até agora: 5550
[2026-03-15T04:26:08.755+0000] {subprocess.py:93} INFO - Página 112 buscada. Total de cervejarias até agora: 5600
[2026-03-15T04:26:08.755+0000] {subprocess.py:93} INFO - Página 113 buscada. Total de cervejarias até agora: 5650
[2026-03-15T04:26:08.755+0000] {subprocess.py:93} INFO - Página 114 buscada. Total de cervejarias até agora: 5700
[2026-03-15T04:26:08.756+0000] {subprocess.py:93} INFO - Página 115 buscada. Total de cervejarias até agora: 5750
[2026-03-15T04:26:08.756+0000] {subprocess.py:93} INFO - Página 116 buscada. Total de cervejarias até agora: 5800
[2026-03-15T04:26:08.757+0000] {subprocess.py:93} INFO - Página 117 buscada. Total de cervejarias até agora: 5850
[2026-03-15T04:26:08.757+0000] {subprocess.py:93} INFO - Página 118 buscada. Total de cervejarias até agora: 5900
[2026-03-15T04:26:08.757+0000] {subprocess.py:93} INFO - Página 119 buscada. Total de cervejarias até agora: 5950
[2026-03-15T04:26:08.757+0000] {subprocess.py:93} INFO - Página 120 buscada. Total de cervejarias até agora: 6000
[2026-03-15T04:26:08.758+0000] {subprocess.py:93} INFO - Página 121 buscada. Total de cervejarias até agora: 6050
[2026-03-15T04:26:08.758+0000] {subprocess.py:93} INFO - Página 122 buscada. Total de cervejarias até agora: 6100
[2026-03-15T04:26:08.759+0000] {subprocess.py:93} INFO - Página 123 buscada. Total de cervejarias até agora: 6150
[2026-03-15T04:26:08.760+0000] {subprocess.py:93} INFO - Página 124 buscada. Total de cervejarias até agora: 6200
[2026-03-15T04:26:08.760+0000] {subprocess.py:93} INFO - Página 125 buscada. Total de cervejarias até agora: 6250
[2026-03-15T04:26:08.761+0000] {subprocess.py:93} INFO - Página 126 buscada. Total de cervejarias até agora: 6300
[2026-03-15T04:26:08.761+0000] {subprocess.py:93} INFO - Página 127 buscada. Total de cervejarias até agora: 6350
[2026-03-15T04:26:08.762+0000] {subprocess.py:93} INFO - Página 128 buscada. Total de cervejarias até agora: 6400
[2026-03-15T04:26:08.762+0000] {subprocess.py:93} INFO - Página 129 buscada. Total de cervejarias até agora: 6450
[2026-03-15T04:26:08.762+0000] {subprocess.py:93} INFO - Página 130 buscada. Total de cervejarias até agora: 6500
[2026-03-15T04:26:08.763+0000] {subprocess.py:93} INFO - Página 131 buscada. Total de cervejarias até agora: 6550
[2026-03-15T04:26:08.763+0000] {subprocess.py:93} INFO - Página 132 buscada. Total de cervejarias até agora: 6600
[2026-03-15T04:26:08.764+0000] {subprocess.py:93} INFO - Página 133 buscada. Total de cervejarias até agora: 6650
[2026-03-15T04:26:08.764+0000] {subprocess.py:93} INFO - Página 134 buscada. Total de cervejarias até agora: 6700
[2026-03-15T04:26:08.765+0000] {subprocess.py:93} INFO - Página 135 buscada. Total de cervejarias até agora: 6750
[2026-03-15T04:26:08.765+0000] {subprocess.py:93} INFO - Página 136 buscada. Total de cervejarias até agora: 6800
[2026-03-15T04:26:08.766+0000] {subprocess.py:93} INFO - Página 137 buscada. Total de cervejarias até agora: 6850
